Action,ProductSKU,ProductName,QuantityToProduce,BufferPercent,ProductionInstructionUrl,IgnoreCumulativeLeadTime,ProductionLeadTime,Version,VersionName,VersionDefault,MinQuantity,MaxQuantity,DeviationPercent,RunSize,OperationSequence,OperationType,OperationName,CycleTime,UnitPerCycle,WorkCentreCode,WorkCentreName,PreviousStep,ItemType,ComponentSKU_ResourceCode,ComponentName_ResourceName,Quantity,WastageQuantity_ForStockComponentOnly,WastagePercent_ForStockComponentOnly,CostAllocationType,SalesValue,CostOfWastage,DeliveryTo_LocationName,DeliveryTo_BinName,CoManPriceTier,Tracing,IssueMethodComponent,IssueMethodParameter,OperationIsBackflush,ComponentIsBackflush,ResourceCostType
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R64/W/FL,Nozzle Insert Stainless Steel (303/304) Drawing No. 09/009,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R69/W/AV,Valve Spindle Hex Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R70/W/12PTF/FL,Acetal Washer 16mm x 25mm x 2mm,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R71/W/AV,O-Ring 6mm 6 x 10 x 2 DURO 70 AS 4020,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R72/W/AV,O-Ring 6mm 6 x 11 x 2.5 DURO 70 AS 4020,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R73/W/12PTF/AV,O-Ring 8m 8 x 12 x 2 DURO 70 AS 4020,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R75/W/AV,Spring Stainless Steel (304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,R81/W/13PSF/FL,Hex Connector Acetyl for Side Tap 1" - 15mm Thread,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,TRF67/W/12PTF/AV,Transformed - Polished Exit Nozzle Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,TRF77/N/12PTF/AV,Transformed - Polished Press Button Stainless Steel,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Component,TRF80/W/13PSF/FL,Transformed - Polished Side Tap Body Eco Brass,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,Assembly 30,"Construction Assembles for 30 Units 12PPTF, 13PPSF, 15PR20, 21PFL, 23PMWI, 25WPC, 28PWS2",1,0,,No,0,2,,No,,,,,1,Manufacturing,Push Palm Side Fountain Pre-assembly,600,1,PWC01,Pre-Assembly Station,,Resource,R01b,Air Compressor (Rivet-Nut / Bracket),1,,,,,,,,,No,Manual,,No,No,CostPerUnitTime
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-17PDGT,Dog Bowl Tap Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-18PDG,Dog Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-19PDGB,Dog Bowl Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R27/N/2ABUA13/PT,Delivery Box Carton for Side Pod 355mm x 215mm x 265mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R52/N/FX,Security Screw Countersunk Post Torx M6 x 20 (304),2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R58/N/10ADG/FX,Flanged Back Nut for Dog Bowl 15mm AS 3688,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R59/W/10ADG/FL,Dog Bowl Nozzle Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R60/N/10ADG/FX,Roll Spring Pin 12 Stainless Steel (420) 1/8 x 1/2,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R61/W/FL,Flat Washer Nylon DG M22.44 x 32.44 x 1.6mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-17PDGT,Dog Bowl Tap Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-18PDG,Dog Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-19PDGB,Dog Bowl Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R27/N/2ABUA13/PT,Delivery Box Carton for Side Pod 355mm x 215mm x 265mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R52/N/FX,Security Screw Countersunk Post Torx M6 x 20 (304),2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R53/N/FX,M6 S/S 304 Hex Nut,4,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R58/N/10ADG/FX,Flanged Back Nut for Dog Bowl 15mm AS 3688,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R59/W/10ADG/FL,Dog Bowl Nozzle Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R60/N/10ADG/FX,Roll Spring Pin 12 Stainless Steel (420) 1/8 x 1/2,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R61/W/FL,Flat Washer Nylon DG M22.44 x 32.44 x 1.6mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-17PDGT,Dog Bowl Tap Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-18PDG,Dog Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-19PDGB,Dog Bowl Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R27/N/2ABUA13/PT,Delivery Box Carton for Side Pod 355mm x 215mm x 265mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R52/N/FX,Security Screw Countersunk Post Torx M6 x 20 (304),2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R53/N/FX,M6 S/S 304 Hex Nut,4,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R200/N/1AB12/FX,1/2" BSP Backing Nut 316 S/S,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R59/W/10ADG/FL,Dog Bowl Nozzle Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R60/N/10ADG/FX,Roll Spring Pin 12 Stainless Steel (420) 1/8 x 1/2,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R61/W/FL,Flat Washer Nylon DG M22.44 x 32.44 x 1.6mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-17PDGT,Dog Bowl Tap Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-18PDG,Dog Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,PBA-19PDGB,Dog Bowl Bowl Production BOM ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R27/N/2ABUA13/PT,Delivery Box Carton for Side Pod 355mm x 215mm x 265mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R52/N/FX,Security Screw Countersunk Post Torx M6 x 20 (304),2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R53/N/FX,M6 S/S 304 Hex Nut,4,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R200/N/1AB12/FX,1/2" BSP Backing Nut 316 S/S,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R59/W/10ADG/FL,Dog Bowl Nozzle Stainless Steel (303/304),1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R60/N/10ADG/FX,Roll Spring Pin 12 Stainless Steel (420) 1/8 x 1/2,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R61/W/FL,Flat Washer Nylon DG M22.44 x 32.44 x 1.6mm,2,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R178/N/FL,Female Adaptor 3/8 x 1/2 bsp - Flat End,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-10ADG,Dog Bowl Production BOM Assembly ,1,0,,No,0,4,,Yes,,,,,1,Manufacturing,Dog Bowl Production BOM Assembly ,1200,1,PWC02,Construction Station,,Component,R176/N/FL,Stem Elbow 3/8" - 1/4",1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,R115/W/11AGT/FX,Adapter Brass 15mm WM: AS 3688,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,R62/N/11AGT/FL,Hose Tap Vandal Proof,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,R63/W/11AGT/FL,Vandal Proof Garden Tap,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,1,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,PBA-22PGF,Garden Fountain Production BOM Assembly ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,R62/N/11AGT/FL,Hose Tap Vandal Proof,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,R63/W/11AGT/FL,Vandal Proof Garden Tap,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,R181/W/FL,WM: AS 3688 Certified Elbow FI X C 15mm WM AS3688,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,2,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,PBA-22PGF,Garden Fountain Production BOM Assembly ,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,R115/W/11AGT/FX,Adapter Brass 15mm WM: AS 3688,1,0,0,,,,,,,No,Manual,,No,No,
Create/Update,PBA-11AGT,Garden Tap Production BOM ,1,0,,No,0,3,,No,,,,,1,Manufacturing,Garden Tap Production BOM ,600,1,PWC02,Construction Station,,Component,PBA-22PGF,Garden Fountain Production BOM Assembly ,1,0,0,,,,,,,No,Manual,,No,No,
