	Category	Start Date	Status	Name		Duration	Linked	Owner	Details	
	Operation	"22/11/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"22/11/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"21/11/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"20/11/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"18/11/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"15/11/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"15/11/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"14/11/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"13/11/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"11/11/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"8/11/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"8/11/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"7/11/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"6/11/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"4/11/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"1/11/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"1/11/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"31/10/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"30/10/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"28/10/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"25/10/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"25/10/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"24/10/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"23/10/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"21/10/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"18/10/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"18/10/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"17/10/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"16/10/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"14/10/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"11/10/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"11/10/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"10/10/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"9/10/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"7/10/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"4/10/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"4/10/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"3/10/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"2/10/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"30/9/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"27/9/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"27/9/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"26/9/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"25/9/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"23/9/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"20/9/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"20/9/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"19/9/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"18/9/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"16/9/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"13/9/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"13/9/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"12/9/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"11/9/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"9/9/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"6/9/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"6/9/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"5/9/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"4/9/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"2/9/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"30/8/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"30/8/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"29/8/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"28/8/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"26/8/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"23/8/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"23/8/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"22/8/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"21/8/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"19/8/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"16/8/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"16/8/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"15/8/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"14/8/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"12/8/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"9/8/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"9/8/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"8/8/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"7/8/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"5/8/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"2/8/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"2/8/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"1/8/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"31/7/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"29/7/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"26/7/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"26/7/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"25/7/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"24/7/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"22/7/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"19/7/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"19/7/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"18/7/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"17/7/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"15/7/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"12/7/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"12/7/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"11/7/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"10/7/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"8/7/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"5/7/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"5/7/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"4/7/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"3/7/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"1/7/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"28/6/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"28/6/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"27/6/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"26/6/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"24/6/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"21/6/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"21/6/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"20/6/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"19/6/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"17/6/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"14/6/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"14/6/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"13/6/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"12/6/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"10/6/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"7/6/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"7/6/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"6/6/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"5/6/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"3/6/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"31/5/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"31/5/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"30/5/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"29/5/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"27/5/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"24/5/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"24/5/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"23/5/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"22/5/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"20/5/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	Operation	"17/5/2024, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"17/5/2024, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Meeting	"16/5/2024, 4:00 pm"	Confirmed	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"15/5/2024, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Meeting	"13/5/2024, 3:20 pm"	Confirmed	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
